"","ENTREZID","SYMBOL"
"1","18952","Septin4"
"2","67276","Eri1"
"3","619677","4930529C04Rik"
"4","193796","Kdm4b"
"5","16847","Lepr"
"6","399638","A030001D16Rik"
"7","67991","Nacc2"
"8","67358","1700093K21Rik"
"9","76866","Morn1"
"10","18789","Papola"
"11","67526","Atg12"
"12","72731","2810410P21Rik"
"13","77799","Sla2"
"14","237759","Col23a1"
"15","209212","Osgin2"
"16","73747","Shld1"
"17","74194","Rnd3"
"18","70295","2610011I18Rik"
"19","69716","Trip13"
"20","54710","Hs3st3b1"
"21","215351","Senp6"
"22","69587","Pcgf3"
"23","328479","Gm5089"
"24","52548","D13Ertd150e"
"25","56277","Tmem45a"
"26","66870","Serbp1"
"27","72503","Bltp2"
"28","23821","Bace1"
"29","74386","Rmi1"
"30","74756","5830408B19Rik"
"31","94061","Mrpl1"
"32","52706","D10Ertd761e"
"33","14718","Got1"
"34","76772","2410049M19Rik"
"35","67160","Eef1g"
"36","219094","Khnyn"
"37","68308","4933406F09Rik"
"38","244895","Peak1"
"39","229791","Plppr4"
"40","73986","4930442G10Rik"
"41","170736","Parvb"
"42","65973","Asph"
"43","12563","Cdh6"
"44","114642","Brdt"
"45","16418","Eif6"
"46","19250","Ptpn14"
"47","67455","Klhl13"
"48","97064","Wwtr1"
"49","105445","Dock9"
"50","21386","Tbx3"
"51","66209","Inip"
"52","107885","Mthfs"
"53","100502854","D030029J20Rik"
"54","77024","2700057C20Rik"
"55","21384","Tbx15"
"56","16443","Itsn1"
"57","100502936","Ube2q2l"
"58","104245","Slc6a5"
"59","69117","Adh6a"
"60","68095","Ociad1"
"61","22290","Uty"
"62","627607","Lrrc74a"
"63","12752","Cln3"
"64","19042","Ppm1a"
"65","73582","Camkmt"
"66","11863","Arnt"
"67","22258","Usp4"
"68","100303645","D7Ertd143e"
"69","14802","Gria4"
"70","70000","2410024N13Rik"
"71","27354","Nbn"
"72","227738","Lrsam1"
"73","72446","Prr5l"
"74","27883","Tango2"
"75","76757","Trdn"
"76","13003","Vcan"
"77","12700","Cish"
"78","78785","Clip4"
"79","319934","Sbf2"
"80","403346","A730062M13Rik"
"81","213236","Dnd1"
"82","67467","Gpalpp1"
"83","70205","2310068C19Rik"
"84","105246577","Gm41848"
"85","69362","Cst12"
"86","19727","Rfxank"
"87","50527","Ero1a"
"88","213084","Cdkl3"
"89","78913","Ltn1"
"90","17766","Nudt1"
"91","70546","Zdhhc2"
"92","28081","Vcf1"
"93","16403","Itga6"
"94","12891","Cpne6"
"95","23792","Adam23"
"96","433100","AA388235"
"97","16551","Kif11"
"98","16865","Eif2d"
"99","97357","C77631"
"100","97591","C77406"
"101","71761","Amdhd1"
"102","622665","Ccdc17"
"103","72901","2900011F02Rik"
"104","68077","Nop53"
"105","16880","Lifr"
"106","66853","Pnpla2"
"107","66950","Pacc1"
"108","66161","Pop4"
"109","268882","Fbxo45"
"110","22651","Zfp125"
"111","19334","Rab22a"
"112","67923","Eloc"
"113","76260","Ttc8"
