"","x"
"1415670_at",7.33995958333333
"1415671_at",10.3984458333333
"1415672_at",11.1106416666667
"1415673_at",6.87256625
"1415674_a_at",8.36498666666667
"1415675_at",7.84988625
"1415676_a_at",9.33905875
"1415677_at",8.01685458333333
"1415678_at",9.34868291666667
"1415679_at",11.7837416666667
"1415680_at",7.31425791666667
"1415681_at",8.37471583333333
"1415682_at",10.21847625
"1415683_at",9.44533416666667
"1415684_at",6.57430166666667
"1415685_at",6.01933333333333
"1415686_at",7.9648125
"1415687_a_at",10.3250245833333
"1415688_at",8.52253458333333
"1415689_s_at",7.76413666666667
"1415690_at",7.93310125
"1415691_at",7.94222291666667
"1415692_s_at",9.67269875
"1415693_at",9.49200041666667
"1415694_at",6.69896375
"1415695_at",9.10192125
"1415696_at",8.18895791666667
"1415697_at",9.040195
"1415698_at",7.52297708333333
"1415699_a_at",8.576765
"1415700_a_at",9.70015291666667
"1415701_x_at",13.491875
"1415702_a_at",9.52473958333333
"1415703_at",8.26326166666667
"1415704_a_at",8.72564541666667
"1415705_at",9.96377125
"1415706_at",10.0202416666667
"1415707_at",8.16125291666667
"1415708_at",9.31109833333333
"1415709_s_at",7.09979916666667
"1415710_at",7.03206833333333
"1415711_at",8.13351458333333
"1415712_at",7.87688583333333
"1415713_a_at",7.78314
"1415714_a_at",9.56650375
"1415715_at",6.29725875
"1415716_a_at",12.8032166666667
"1415717_at",8.35844083333333
"1415718_at",8.91259083333333
"1415719_s_at",8.399815
"1415720_s_at",7.90660583333333
"1415721_a_at",8.78288
"1415722_a_at",8.17656708333333
"1415723_at",12.5022875
"1415724_a_at",10.42333375
"1415725_at",7.02865125
"1415726_at",7.46364958333333
"1415727_at",7.31710833333333
"1415728_at",8.25796458333333
"1415729_at",8.27155916666667
"1415730_at",8.25598875
"1415731_at",8.12538333333333
"1415732_at",8.25751083333333
"1415733_a_at",9.04168791666667
"1415734_at",9.78973041666667
"1415735_at",9.1019225
"1415736_at",11.367275
"1415737_at",12.5442791666667
"1415738_at",8.55200208333333
"1415739_at",8.53489375
"1415740_at",8.1399175
"1415741_at",9.17075041666667
"1415742_at",9.43802833333333
"1415743_at",8.71324875
"1415744_at",7.59483833333333
"1415745_a_at",7.70917083333333
"1415746_at",8.5963375
"1415747_s_at",13.8558958333333
"1415748_a_at",8.35786458333333
"1415749_a_at",8.61991
"1415750_at",6.44705833333333
"1415751_at",9.9796875
"1415752_at",9.89264708333333
"1415753_at",8.44246625
"1415754_at",7.84275125
"1415755_a_at",9.52283333333333
"1415756_a_at",7.61246375
"1415757_at",6.95168875
"1415758_at",8.59904666666667
"1415759_a_at",9.42304875
"1415760_s_at",10.1634554166667
"1415761_at",7.47095166666667
"1415762_x_at",8.17655166666667
"1415763_a_at",9.94396166666667
"1415764_at",9.80979291666667
"1415765_at",6.20765041666667
"1415766_at",7.65469041666667
"1415767_at",8.23879166666667
"1415768_a_at",13.3549916666667
"1415769_at",8.16243583333333
"1415770_at",7.81089708333333
"1415771_at",8.44564083333333
"1415772_at",5.29957375
"1415773_at",6.04998541666667
"1415774_at",6.52853833333333
"1415775_at",8.52605083333333
"1415776_at",6.28503708333333
"1415777_at",5.534145
"1415778_at",9.19821958333333
"1415779_s_at",13.5820958333333
"1415780_a_at",5.35777666666667
"1415781_a_at",12.1047208333333
"1415782_at",10.6748858333333
"1415783_at",8.706425
"1415784_at",3.88993958333333
"1415785_a_at",8.42797083333333
"1415786_at",5.82208208333333
"1415787_at",7.50159291666667
"1415788_at",8.677625
"1415789_a_at",6.19199541666667
"1415790_at",6.72955458333333
"1415791_at",8.13341208333333
"1415792_at",9.25669583333333
"1415793_at",8.24884333333333
"1415794_a_at",7.87146291666667
"1415795_at",5.81117291666667
"1415796_at",13.6444333333333
"1415797_at",6.42942833333333
"1415798_at",5.82714916666667
"1415799_at",8.50616041666667
"1415800_at",3.20632125
"1415801_at",4.18458125
"1415802_at",9.82812041666667
"1415803_at",5.9317675
"1415804_at",6.23725666666667
"1415805_at",4.72679833333333
"1415806_at",5.23802083333333
"1415807_s_at",8.729205
"1415808_at",5.40998083333333
"1415809_at",3.81626666666667
"1415810_at",6.60009958333333
"1415811_at",5.77409916666667
"1415812_at",11.0046875
"1415813_at",8.93946625
"1415814_at",8.57496958333333
